Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,528816317,6784.445171156243,3224435,41.36786585852864,486278,6294969,80.76125993409588,8111,0.10406001670944708,1380,
United States of America,Americas,83551386,25241.908,698712,211.09,136522,998070,301.529,1849,0.559,558
India,South-East Asia,43168585,3128.148,21055,1.526,4041,524651,38.018,112,0.008,10
Brazil,Americas,31060017,14612.393,213415,100.403,40979,666801,313.701,764,0.359,125
France,Europe,28687573,44108.019,126033,193.78,25365,145123,223.131,318,0.489,41
Germany,Europe,26452148,31806.173,217820,261.908,28481,139313,167.511,32,0.038,0
The United Kingdom,Europe,22305897,32857.873,29914,44.065,0,178749,263.308,215,0.317,0
Russian Federation,Europe,18343964,12570.002,28672,19.647,4188,379363,259.954,579,0.397,78
Republic of Korea,Western Pacific,18141835,35385.456,88548,172.712,12542,24229,47.258,126,0.246,17
Italy,Europe,17457950,29271.486,122882,206.034,17718,166835,279.73,464,0.778,79
Turkey,Europe,15073722,17872.764,5628,6.673,0,98969,117.347,21,0.025,0
Spain,Europe,12392538,26181.816,25807,54.523,0,106511,225.027,66,0.139,0
Viet Nam,Western Pacific,10722634,11015.811,8626,8.862,2208,43080,44.258,2,0.002,1
Argentina,Americas,9230573,20423.531,51778,114.564,0,128889,285.179,64,0.142,0
Japan,Western Pacific,8893475,7031.723,155943,123.298,20680,30677,24.255,219,0.173,24
Netherlands,Europe,8088777,46466.968,7874,45.233,1525,22325,128.249,12,0.069,1
Australia,Western Pacific,7341978,28792.202,230026,902.067,34983,8612,33.773,277,1.086,56
Iran (Islamic Republic of),Eastern Mediterranean,7232268,8610.566,1169,1.392,0,141318,168.25,22,0.026,0
Colombia,Americas,6103455,11995.103,4344,8.537,0,139854,274.855,21,0.041,0
Indonesia,South-East Asia,6056017,2214.075,2123,0.776,372,156604,57.254,39,0.014,4
Poland,Europe,6008295,15828.74,1486,3.915,236,116338,306.49,32,0.084,5
Mexico,Americas,5779027,4482.202,9229,7.158,0,324951,252.031,13,0.01,0
Ukraine,Europe,5011433,11458.958,0,0,0,108538,248.179,0,0,0
Portugal,Europe,4775529,46382.782,172536,1675.772,26848,23243,225.75,257,2.496,47
Malaysia,Western Pacific,4510196,13934.982,11139,34.416,1877,35680,110.239,24,0.074,2
Thailand,South-East Asia,4460556,6390.483,26045,37.314,2976,30113,43.142,203,0.291,32
